Mask_Name,Cup_Area,Disc_Area,CDR
n0108.bmp,4426,80126,0.0552
n0109.bmp,11272,72542,0.1554
n0110.bmp,11360,60064,0.1891
n0111.bmp,15411,73094,0.2108
n0112.bmp,15238,71113,0.2143
n0113.bmp,19084,59210,0.3223
n0114.bmp,17376,58651,0.2963
n0115.bmp,14032,58024,0.2418
n0116.bmp,14668,57035,0.2572
n0117.bmp,16973,65642,0.2586
n0118.bmp,14174,67158,0.2111
n0119.bmp,25598,102526,0.2497
n0120.bmp,18752,97838,0.1917
n0121.bmp,15456,67903,0.2276
n0122.bmp,16626,59815,0.278
n0123.bmp,17195,80929,0.2125
n0124.bmp,17671,76045,0.2324
n0125.bmp,21539,68492,0.3145
n0126.bmp,16237,69841,0.2325
n0127.bmp,24958,87784,0.2843
n0128.bmp,16838,82883,0.2032
n0129.bmp,9895,53175,0.1861
n0130.bmp,9151,63884,0.1432
n0131.bmp,11046,71635,0.1542
n0132.bmp,21789,95927,0.2271
n0133.bmp,15914,82539,0.1928
n0134.bmp,15909,80077,0.1987
n0135.bmp,13765,77462,0.1777
n0136.bmp,14048,63248,0.2221
n0137.bmp,13056,70055,0.1864
n0138.bmp,16079,68144,0.236
n0139.bmp,22716,66628,0.3409
n0140.bmp,24503,63411,0.3864
n0141.bmp,12628,68952,0.1831
n0142.bmp,10085,71364,0.1413
n0143.bmp,21970,81831,0.2685
n0144.bmp,9834,49781,0.1975
n0145.bmp,11573,54700,0.2116
n0146.bmp,8173,53189,0.1537
n0147.bmp,15873,66086,0.2402
n0148.bmp,10625,62489,0.17
n0149.bmp,10479,49290,0.2126
n0150.bmp,13972,84052,0.1662
n0151.bmp,16599,85756,0.1936
n0152.bmp,16568,83121,0.1993
n0153.bmp,20907,85377,0.2449
n0154.bmp,13977,63749,0.2193
n0155.bmp,14350,64994,0.2208
n0156.bmp,12146,51421,0.2362
n0157.bmp,16579,65463,0.2533
n0158.bmp,16815,72387,0.2323
n0159.bmp,6928,49554,0.1398
n0160.bmp,9982,48682,0.205
n0161.bmp,18684,64929,0.2878
n0162.bmp,35606,112592,0.3162
n0163.bmp,34299,97466,0.3519
n0164.bmp,15729,75841,0.2074
n0165.bmp,18773,65106,0.2883
n0166.bmp,16312,67084,0.2432
n0167.bmp,18152,72876,0.2491
n0168.bmp,14344,72489,0.1979
n0169.bmp,14608,87949,0.1661
n0170.bmp,17265,61901,0.2789
n0171.bmp,14687,64590,0.2274
n0172.bmp,9160,60092,0.1524
n0173.bmp,14668,61793,0.2374
n0174.bmp,10513,44992,0.2337
n0175.bmp,6226,30863,0.2017
n0176.bmp,12384,78440,0.1579
n0177.bmp,10696,61108,0.175
n0178.bmp,18857,93620,0.2014
n0179.bmp,13487,80924,0.1667
n0180.bmp,12047,68537,0.1758
n0181.bmp,16376,64924,0.2522
n0182.bmp,8180,70218,0.1165
n0183.bmp,13709,75829,0.1808
n0184.bmp,16812,81408,0.2065
n0185.bmp,18912,68501,0.2761
n0186.bmp,11685,72284,0.1617
n0187.bmp,9706,68626,0.1414
n0188.bmp,9150,62167,0.1472
n0189.bmp,9553,67108,0.1424
n0190.bmp,16703,89503,0.1866
n0191.bmp,10606,59166,0.1793
n0192.bmp,9174,72600,0.1264
n0193.bmp,13554,87719,0.1545
n0194.bmp,10946,68514,0.1598
n0195.bmp,15415,67009,0.23
n0196.bmp,14955,66714,0.2242
n0197.bmp,17146,68949,0.2487
n0198.bmp,19030,91817,0.2073
n0199.bmp,18831,95140,0.1979
n0200.bmp,16473,73358,0.2246
n0201.bmp,14842,70036,0.2119
n0202.bmp,14826,80173,0.1849
n0203.bmp,17897,73346,0.244
n0204.bmp,16338,67611,0.2416
n0205.bmp,16146,75882,0.2128
n0206.bmp,18534,84503,0.2193
n0207.bmp,16412,72177,0.2274
n0208.bmp,17436,78872,0.2211
n0209.bmp,18062,88605,0.2038
n0210.bmp,17041,92271,0.1847
n0211.bmp,17137,81523,0.2102
n0212.bmp,11142,81226,0.1372
n0213.bmp,21032,95733,0.2197
n0214.bmp,25559,87482,0.2922
n0215.bmp,25829,84588,0.3054
n0216.bmp,15868,73040,0.2173
n0217.bmp,16199,80609,0.201
n0218.bmp,23572,71025,0.3319
n0219.bmp,18223,56139,0.3246
n0220.bmp,20744,69450,0.2987
n0221.bmp,20138,78398,0.2569
n0222.bmp,24466,85280,0.2869
n0223.bmp,16043,65077,0.2465
n0224.bmp,28612,81154,0.3526
n0225.bmp,21625,71467,0.3026
n0226.bmp,19737,63511,0.3108
n0227.bmp,15066,58255,0.2586
n0228.bmp,15429,56124,0.2749
n0229.bmp,16620,66689,0.2492
n0230.bmp,42877,97835,0.4383
n0231.bmp,29809,89019,0.3349
n0232.bmp,13627,79572,0.1713
n0233.bmp,22883,91882,0.249
n0234.bmp,27314,87617,0.3117
n0235.bmp,17548,78732,0.2229
n0236.bmp,9192,57822,0.159
n0237.bmp,27894,91673,0.3043
n0238.bmp,6048,48996,0.1234
n0239.bmp,16311,54790,0.2977
n0240.bmp,16992,74399,0.2284
n0241.bmp,21087,68546,0.3076
n0242.bmp,20292,84910,0.239
n0243.bmp,15470,69470,0.2227
n0244.bmp,21879,80698,0.2711
n0245.bmp,41747,93537,0.4463
n0246.bmp,13990,77398,0.1808
n0247.bmp,27276,85652,0.3185
n0248.bmp,39445,90940,0.4337
n0249.bmp,19156,87479,0.219
n0250.bmp,18358,80895,0.2269
n0251.bmp,19761,66765,0.296
n0252.bmp,26778,91655,0.2922
n0253.bmp,17354,83358,0.2082
n0254.bmp,20820,96362,0.2161
n0255.bmp,21357,96294,0.2218
n0256.bmp,21344,82546,0.2586
n0257.bmp,29711,72082,0.4122
n0258.bmp,9084,62622,0.1451
n0259.bmp,19595,60392,0.3245
n0260.bmp,23214,90815,0.2556
n0261.bmp,24093,88673,0.2717
n0262.bmp,41855,103058,0.4061
n0263.bmp,39954,122267,0.3268
n0264.bmp,11014,78793,0.1398
n0265.bmp,14373,74099,0.194
n0266.bmp,14719,69098,0.213
n0267.bmp,16328,69410,0.2352
n0268.bmp,13957,67209,0.2077
n0269.bmp,21683,85557,0.2534
n0270.bmp,23209,82329,0.2819
n0271.bmp,19092,48393,0.3945
n0272.bmp,15174,60046,0.2527
n0273.bmp,24917,85265,0.2922
n0274.bmp,25026,82574,0.3031
n0275.bmp,18200,85896,0.2119
n0276.bmp,19842,96521,0.2056
n0277.bmp,19411,69633,0.2788
n0278.bmp,21873,74466,0.2937
n0279.bmp,40890,99054,0.4128
n0280.bmp,23955,69087,0.3467
n0281.bmp,13504,70731,0.1909
n0282.bmp,20084,76470,0.2626
n0283.bmp,14471,74746,0.1936
n0284.bmp,27193,77307,0.3518
n0285.bmp,29723,83225,0.3571
n0286.bmp,20130,66427,0.303
n0287.bmp,23207,74641,0.3109
n0288.bmp,23067,72389,0.3187
n0289.bmp,29546,84443,0.3499
n0290.bmp,8605,62845,0.1369
n0291.bmp,11484,63105,0.182
n0292.bmp,13343,60459,0.2207
n0293.bmp,17661,75356,0.2344
n0294.bmp,20632,84201,0.245
n0295.bmp,13980,78540,0.178
n0296.bmp,18832,73073,0.2577
n0297.bmp,19674,77007,0.2555
n0298.bmp,11248,43948,0.2559
n0299.bmp,16478,83380,0.1976
n0300.bmp,12246,78333,0.1563
n0301.bmp,15051,77231,0.1949
n0302.bmp,16677,79842,0.2089
n0303.bmp,21994,76360,0.288
n0304.bmp,18335,85384,0.2147
n0305.bmp,16105,83858,0.1921
n0306.bmp,21602,84165,0.2567
n0307.bmp,19411,83005,0.2339
n0308.bmp,25821,77936,0.3313
n0309.bmp,14882,73960,0.2012
n0310.bmp,15675,72387,0.2165
n0311.bmp,16602,70906,0.2341
n0312.bmp,16911,64823,0.2609
n0313.bmp,21245,79411,0.2675
n0314.bmp,14062,62648,0.2245
n0315.bmp,12529,56687,0.221
n0316.bmp,23287,69318,0.3359
n0317.bmp,22047,73029,0.3019
n0318.bmp,16826,59636,0.2821
n0319.bmp,14033,72649,0.1932
n0320.bmp,21249,92669,0.2293
n0321.bmp,22387,96237,0.2326
n0322.bmp,9967,55403,0.1799
n0323.bmp,15844,53552,0.2959
n0324.bmp,15992,75205,0.2126
n0325.bmp,33641,87166,0.3859
n0326.bmp,18733,72097,0.2598
n0327.bmp,15589,53707,0.2903
n0328.bmp,14681,51881,0.283
n0329.bmp,24020,82591,0.2908
n0330.bmp,16504,83758,0.197
n0331.bmp,19908,83574,0.2382
n0332.bmp,12653,67015,0.1888
n0333.bmp,18724,54107,0.3461
n0334.bmp,21556,67895,0.3175
n0335.bmp,15635,59649,0.2621
n0336.bmp,18504,78086,0.237
n0337.bmp,15008,69326,0.2165
n0338.bmp,25943,103979,0.2495
n0339.bmp,15681,76990,0.2037
n0340.bmp,20407,77744,0.2625
n0341.bmp,11218,71521,0.1568
n0342.bmp,20864,61398,0.3398
n0343.bmp,14560,60647,0.2401
n0344.bmp,12806,65720,0.1949
n0345.bmp,13739,59924,0.2293
n0346.bmp,21638,67194,0.322
n0347.bmp,14242,73462,0.1939
n0348.bmp,11507,68347,0.1684
n0349.bmp,21492,99362,0.2163
n0350.bmp,16966,81570,0.208
n0351.bmp,19467,89543,0.2174
n0352.bmp,21678,80464,0.2694
n0353.bmp,17468,76292,0.229
n0354.bmp,18964,96978,0.1955
n0355.bmp,24913,85570,0.2911
n0356.bmp,23651,96038,0.2463
n0357.bmp,14726,61693,0.2387
n0358.bmp,14210,69001,0.2059
n0359.bmp,20064,48097,0.4172
n0360.bmp,11246,62113,0.1811
